tab,row,sector,name,column,standard_value,country_value,matched,usability,usabililty_justification,approximate_match,best_match,token_match,label_match,issue,list_name,country
survey,76,,aap_preferred_modality,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,77,,other_aap_preferred_modality,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,78,,aap_received_assistance_12m,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,79,,aap_received_assistance_date,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,82,,edu_ind_note,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,84,,edu_ind_pos,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,85,,edu_person_id,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,86,,edu_ind_age,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,87,,edu_ind_gender,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,88,,edu_ind_age_schooling,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,89,,edu_access,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,90,,edu_level_grade,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,91,,edu_disrupted_note,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,92,,edu_disrupted_hazards,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,93,,edu_disrupted_teacher,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,94,,edu_disrupted_displaced,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,95,,edu_disrupted_occupation,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,96,,edu_barrier,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,97,,other_edu_barrier,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,101,,snfi_note,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,102,,snfi_shelter_type,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,103,,snfi_shelter_type_individual,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,104,,other_snfi_shelter_type_individual,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,105,,snfi_shelter_issue,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,106,,other_snfi_shelter_issue,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,107,,snfi_fds_cooking,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,108,,snfi_fds_cooking_issue,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,109,,other_snfi_fds_cooking_issue,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,110,,snfi_fds_sleeping,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,111,,snfi_fds_sleeping_issue,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,112,,other_snfi_fds_sleeping_issue,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,113,,snfi_fds_storing,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,114,,snfi_fds_storing_issue,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,115,,other_snfi_fds_storing_issue,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,116,,snfi_fds_personal_hygiene,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,117,,snfi_fds_personal_hygiene_issue,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,118,,other_snfi_fds_personal_hygiene_issue,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,121,,energy_lighting_source,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,122,,other_energy_lighting_source,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,125,,hlp_occupancy,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,126,,hlp_risk_eviction,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,129,,wash_note,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,130,,wash_drinking_water_source,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,131,,other_wash_drinking_water_source,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,132,,wash_drinking_water_time_yn,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,133,,wash_drinking_water_time_int,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,134,,wash_drinking_water_time_sl,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,135,,wash_drinking_water_quantity,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,136,,wash_sanitation_facility,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,137,,other_wash_sanitation_facility,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,138,,wash_sanitation_facility_sharing_yn,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,139,,wash_sanitation_facility_sharing_n,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,140,,wash_handwashing_facility,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,141,,other_wash_handwashing_facility,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,142,,wash_handwashing_facility_observed_water,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,143,,wash_handwashing_facility_observed_soap,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,144,,wash_handwashing_facility_reported,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,145,,other_wash_handwashing_facility_reported,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,146,,wash_soap_observed,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,147,,wash_soap_observed_type,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,148,,other_wash_soap_observed_type,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,149,,wash_soap_reported,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,150,,wash_soap_reported_type,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,151,,other_wash_soap_reported_type,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,154,,fsl_note,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,155,,fsl_fcs_cereal,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,156,,fsl_fcs_legumes,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,157,,fsl_fcs_dairy,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,158,,fsl_fcs_meat,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,159,,fsl_fcs_veg,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,160,,fsl_fcs_fruit,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,161,,fsl_fcs_oil,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,162,,fsl_fcs_sugar,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,163,,fsl_fcs_condiments,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,164,,fsl_rcsi_lessquality,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,165,,fsl_rcsi_borrow,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,166,,fsl_rcsi_mealsize,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,167,,fsl_rcsi_mealadult,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,168,,fsl_rcsi_mealnb,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,169,,fsl_hhs_nofoodhh,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,170,,fsl_hhs_nofoodhh_freq,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,171,,fsl_hhs_sleephungry,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,172,,fsl_hhs_sleephungry_freq,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,173,,fsl_hhs_alldaynight,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,174,,fsl_hhs_alldaynight_freq,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,175,,fsl_source_food,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,176,,other_fsl_source_food,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,177,,fsl_lcsi_stress1,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,178,,fsl_lcsi_stress2,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,179,,fsl_lcsi_stress3,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,180,,fsl_lcsi_stress4,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,181,,fsl_lcsi_crisis1,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,182,,fsl_lcsi_crisis2,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,183,,fsl_lcsi_crisis3,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,184,,fsl_lcsi_emergency1,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,185,,fsl_lcsi_emergency2,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,186,,fsl_lcsi_emergency3,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,187,,fsl_lcsi_other_reason,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,188,,other_fsl_lcsi_other_reason,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,189,,fsl_lcsi_en_stress1,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,190,,fsl_lcsi_en_stress2,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,191,,fsl_lcsi_en_stress3,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,192,,fsl_lcsi_en_stress4,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,193,,fsl_lcsi_en_crisis1,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,194,,fsl_lcsi_en_crisis2,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,195,,fsl_lcsi_en_crisis3,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,196,,fsl_lcsi_en_emergency1,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,197,,fsl_lcsi_en_emergency2,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,198,,fsl_lcsi_en_emergency3,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,199,,fsl_lcsi_en_other_reason,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,200,,other_fsl_lcsi_en_other_reason,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,203,,cm_note,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,204,,cm_income_source,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,205,,cm_income_source_note_n,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,206,,cm_income_source_salaried_n,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,207,,cm_income_source_casual_n,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,208,,cm_income_source_own_business_n,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,209,,cm_income_source_own_production_n,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,210,,cm_income_source_social_benefits_n,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,211,,cm_income_source_rent_n,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,212,,cm_income_source_remittances_n,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,213,,cm_income_source_assistance_n,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,214,,cm_income_source_support_friends_n,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,215,,cm_income_source_donation_n,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,216,,cm_income_source_other_n,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,217,,other_cm_income_source_other_n,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,218,,cm_income_source_total_prop,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,219,,cm_income_source_note_prop,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,220,,cm_income_source_salaried_prop,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,221,,cm_income_source_casual_prop,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,222,,cm_income_source_own_business_prop,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,223,,cm_income_source_own_production_prop,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,224,,cm_income_source_social_benefits_prop,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,225,,cm_income_source_rent_prop,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,226,,cm_income_source_remittances_prop,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,227,,cm_income_source_assistance_prop,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,228,,cm_income_source_support_friends_prop,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,229,,cm_income_source_donation_prop,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,230,,cm_income_source_other_prop,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,231,,other_cm_income_source_other_prop,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,234,,health_note,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,236,,health_ind_pos,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,237,,health_person_id,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,238,,health_ind_age,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,239,,health_ind_gender,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,240,,health_ind_healthcare_needed,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,241,,health_ind_healthcare_received,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,242,,health_ind_healthcare_needed_type,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,243,,other_health_ind_healthcare_needed_type,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,245,,health_facility_time,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,248,,nut_ind_note,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,250,,nut_ind_pos,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,251,,nut_person_id,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,252,,nut_ind_age,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,253,,nut_ind_gender,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,254,,nut_ind_age_0_4,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,255,,nut_ind_age_under1,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,256,,nut_ind_age_vitamina,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,257,,nut_ind_age_deworming,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,258,,nut_ind_under5_sick_yn,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,259,,nut_ind_under5_sick_symptoms,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,260,,nut_ind_under5_sick_location,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,261,,nut_ind_under5_vitamina,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,262,,nut_ind_under5_deworming,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,266,,prot_concern_note,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,267,,prot_concern_freq_cope,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,268,,prot_concern_freq_displaced,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,269,,prot_concern_hh_note,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,270,,prot_concern_hh_freq_violence,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,271,,prot_concern_hh_freq_kidnapping,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,272,,prot_concern_hh_freq_discrimination,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,275,,prot_child_sep,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,276,,prot_child_sep_reason,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,277,,other_prot_child_sep_reason,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,281,,household_geopoint,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,283,,final_note,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,284,,final_text,,,,not matched,,,,,,,Missing in country survey,,BFA
choices,2,,remote,,,,not matched,,,,,,,Missing in country choices,l_survey_modality,BFA
choices,3,,in_person,,,,not matched,,,,,,,Missing in country choices,l_survey_modality,BFA
choices,5,,id_1,,,,not matched,,,,,,,Missing in country choices,l_enum_id,BFA
choices,6,,id_2,,,,not matched,,,,,,,Missing in country choices,l_enum_id,BFA
choices,7,,id_3,,,,not matched,,,,,,,Missing in country choices,l_enum_id,BFA
choices,9,,male,,,,not matched,,,,,,,Missing in country choices,l_gender,BFA
choices,10,,female,,,,not matched,,,,,,,Missing in country choices,l_gender,BFA
choices,11,,other,,,,not matched,,,,,,,Missing in country choices,l_gender,BFA
choices,12,,pnta,,,,not matched,,,,,,,Missing in country choices,l_gender,BFA
choices,14,,PCODE1,,,,not matched,,,,,,,Missing in country choices,l_admin1,BFA
choices,15,,PCODE2,,,,not matched,,,,,,,Missing in country choices,l_admin1,BFA
choices,17,,PCODE11,,,,not matched,,,,,,,Missing in country choices,l_admin2,BFA
choices,18,,PCODE12,,,,not matched,,,,,,,Missing in country choices,l_admin2,BFA
choices,19,,PCODE21,,,,not matched,,,,,,,Missing in country choices,l_admin2,BFA
choices,21,,PCODE111,,,,not matched,,,,,,,Missing in country choices,l_admin3,BFA
choices,22,,PCODE121,,,,not matched,,,,,,,Missing in country choices,l_admin3,BFA
choices,23,,PCODE211,,,,not matched,,,,,,,Missing in country choices,l_admin3,BFA
choices,24,,PCODE212,,,,not matched,,,,,,,Missing in country choices,l_admin3,BFA
choices,26,,PCODE1111,,,,not matched,,,,,,,Missing in country choices,l_admin4,BFA
choices,27,,PCODE1211,,,,not matched,,,,,,,Missing in country choices,l_admin4,BFA
choices,28,,PCODE2111,,,,not matched,,,,,,,Missing in country choices,l_admin4,BFA
choices,29,,PCODE2121,,,,not matched,,,,,,,Missing in country choices,l_admin4,BFA
choices,31,,cluster_1,,,,not matched,,,,,,,Missing in country choices,l_cluster_id,BFA
choices,32,,cluster_2,,,,not matched,,,,,,,Missing in country choices,l_cluster_id,BFA
choices,33,,cluster_3,,,,not matched,,,,,,,Missing in country choices,l_cluster_id,BFA
choices,34,,cluster_4,,,,not matched,,,,,,,Missing in country choices,l_cluster_id,BFA
choices,36,,yes,,,,not matched,,,,,,,Missing in country choices,l_yn,BFA
choices,37,,no,,,,not matched,,,,,,,Missing in country choices,l_yn,BFA
choices,39,,yes,,,,not matched,,,,,,,Missing in country choices,l_yn_dnk_pnta,BFA
choices,40,,no,,,,not matched,,,,,,,Missing in country choices,l_yn_dnk_pnta,BFA
choices,41,,dnk,,,,not matched,,,,,,,Missing in country choices,l_yn_dnk_pnta,BFA
choices,42,,pnta,,,,not matched,,,,,,,Missing in country choices,l_yn_dnk_pnta,BFA
choices,44,,rural,,,,not matched,,,,,,,Missing in country choices,l_setting,BFA
choices,45,,urban,,,,not matched,,,,,,,Missing in country choices,l_setting,BFA
choices,46,,camp,,,,not matched,,,,,,,Missing in country choices,l_setting,BFA
choices,48,,0,,,,not matched,,,,,,,Missing in country choices,l_ind_age_under1,BFA
choices,49,,1,,,,not matched,,,,,,,Missing in country choices,l_ind_age_under1,BFA
choices,50,,2,,,,not matched,,,,,,,Missing in country choices,l_ind_age_under1,BFA
choices,51,,3,,,,not matched,,,,,,,Missing in country choices,l_ind_age_under1,BFA
choices,52,,4,,,,not matched,,,,,,,Missing in country choices,l_ind_age_under1,BFA
choices,53,,5,,,,not matched,,,,,,,Missing in country choices,l_ind_age_under1,BFA
choices,54,,6,,,,not matched,,,,,,,Missing in country choices,l_ind_age_under1,BFA
choices,55,,7,,,,not matched,,,,,,,Missing in country choices,l_ind_age_under1,BFA
choices,56,,8,,,,not matched,,,,,,,Missing in country choices,l_ind_age_under1,BFA
choices,57,,9,,,,not matched,,,,,,,Missing in country choices,l_ind_age_under1,BFA
choices,58,,10,,,,not matched,,,,,,,Missing in country choices,l_ind_age_under1,BFA
choices,59,,11,,,,not matched,,,,,,,Missing in country choices,l_ind_age_under1,BFA
choices,60,,dnk,,,,not matched,,,,,,,Missing in country choices,l_ind_age_under1,BFA
choices,62,,level1_grade1,,,,not matched,,,,,,,Missing in country choices,l_edu_level_grade,BFA
choices,63,,level1_grade2,,,,not matched,,,,,,,Missing in country choices,l_edu_level_grade,BFA
choices,64,,level2_grade_1,,,,not matched,,,,,,,Missing in country choices,l_edu_level_grade,BFA
choices,65,,level2_grade_2,,,,not matched,,,,,,,Missing in country choices,l_edu_level_grade,BFA
choices,66,,level2_grade_3,,,,not matched,,,,,,,Missing in country choices,l_edu_level_grade,BFA
choices,68,,costs,,,,not matched,,,,,,,Missing in country choices,l_edu_barrier,BFA
choices,69,,lack_interest,,,,not matched,,,,,,,Missing in country choices,l_edu_barrier,BFA
